id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32836529,"Gran via Excellent, by Presidence Rentals",77420214,Presidence Rentals,Centro,Sol,40.41759,-3.70384,Entire home/apt,237,1,99,2024-08-22,1.47,24,42,12,
1098608148543570376,Tirso Studio,563741058,Aaron,Centro,Embajadores,40.41088,-3.70295,Entire home/apt,126,1,10,2024-08-25,1.55,1,316,10,E265134
1168106800559226558,"Gran via Suite, by Presidence Rentals",77420214,Presidence Rentals,Centro,Sol,40.41764371798446,-3.705144211368191,Entire home/apt,198,1,4,2024-08-07,1.90,24,28,4,
25284361,El Gran Mesonero apartment - Wifi,191003013,Redpiso,Centro,Sol,40.41954,-3.70364,Entire home/apt,247,5,20,2020-03-04,0.26,1,0,0,VT-6630
847934579738359660,Acogedor piso en el centro de Madrid!,505575901,Luka,Centro,Palacio,40.42033409990769,-3.7065081816417282,Entire home/apt,125,1,4,2023-05-21,0.23,2,69,0,
866556421802146609,Habitación Moratalaz,287159665,Patricia,Moratalaz,Marroquina,40.40972193188872,-3.6308739993723904,Private room,,1,13,2023-07-12,0.77,1,0,0,
878232408160076732,Apartamento Céntrico Entero,511889608,Lucrecia,Moncloa - Aravaca,Casa de Campo,40.42262009257072,-3.7230492519191127,Entire home/apt,,2,6,2023-09-02,0.36,1,0,0,
945418086142634038,alquilo habitación por noche,500764691,Robinson,Carabanchel,Vista Alegre,40.38441250696248,-3.744861797045608,Private room,,1,0,,,1,269,0,
947723810290753043,Coqueto y luminoso apartamento en Madrid,19461568,Silvina,Ciudad Lineal,Pueblo Nuevo,40.425320385118034,-3.635342265111885,Entire home/apt,,3,1,2023-08-12,0.08,1,0,0,
964558478071959408,Habitación y baño privado,90321012,Joana,Latina,Puerta del Angel,40.41017,-3.73697,Private room,,2,13,2024-04-13,1.34,1,0,13,
20845506,Habitación (doble) en el centro de Madrid.,19458219,Guillermo,Centro,Universidad,40.42288,-3.70522,Private room,70,1,353,2024-08-13,4.14,3,75,108,
843192181325180201,conoce Madrid,77730805,Naia,Vicálvaro,Ambroz,40.4096772,-3.6109847,Private room,29,1,7,2023-07-02,0.39,1,331,0,
1167908898382653924,"Habitacion confortable,tranquila",413942202,Maria Teresa,Ciudad Lineal,Ventas,40.43027,-3.65011,Private room,47,1,2,2024-06-15,0.59,2,269,2,
1229774437338139318,Cómodo piso en alquiler,597747108,Jose,San Blas - Canillejas,Amposta,40.428615592967645,-3.6183244031553974,Entire home/apt,100,1,0,,,1,182,0,
35148992,Habitación cerca del aeropuerto,130325159,Fernando,San Blas - Canillejas,Rejas,40.44418,-3.59356,Private room,53,2,26,2024-08-19,2.50,3,254,26,
41759539,Estudio en Madrid,48558827,Amaya,Hortaleza,Valdefuentes,40.48469,-3.66706,Entire home/apt,63,30,21,2024-08-14,0.41,1,154,9,
31816052,"HABITACIÓN PRIVADA, ACOGEDORA, WIFI, CENTRO IFEMA",238440722,Jose Joaquín,Ciudad Lineal,Concepción,40.44637,-3.64441,Private room,44,2,50,2024-09-08,0.76,1,163,8,
1147604444314339566,Industrial chic: Single room,2906562,Jesús,Moratalaz,Fontarrón,40.4036052,-3.6487551,Private room,57,3,1,2024-06-16,0.34,3,89,1,
874987801199305603,Habitación Doble espaciosa.,491291438,Francisco,Usera,Moscardó,40.38619412272823,-3.7042915092440754,Private room,25,5,8,2024-06-24,0.63,5,344,7,
766388765333618827,Piso con patio cerca IFEMA y Estadio del Atleti,488825658,Fernando,San Blas - Canillejas,Canillejas,40.446471421859144,-3.608064600524905,Entire home/apt,136,2,9,2023-04-29,0.42,1,167,0,
996895721714953525,Habitación grande y tranquila,467418585,Cinthia,Ciudad Lineal,Concepción,40.43938098958364,-3.6491889506578445,Private room,45,1,36,2024-09-10,3.23,2,68,36,
1149695753256784726,Familia seguridad y confort,294279529,Carol,San Blas - Canillejas,Amposta,40.42920992896342,-3.617721274495125,Private room,35,1,11,2024-07-15,2.68,1,262,11,
1139114287236378378,"Nuevo, muy luminoso y tranquilo",14032635,Carlos,San Blas - Canillejas,Arcos,40.41997287913771,-3.622598276529724,Entire home/apt,245,1,2,2024-05-31,0.46,20,365,2,
53217798,MY HOME SAN BLAS,67100740,Tanya,San Blas - Canillejas,Arcos,40.42238,-3.61872,Entire home/apt,66,1,270,2024-08-24,7.89,2,320,109,
1070928823119991763,Piso de 1 dorm en Salamanca,518713670,Bemadrid,Salamanca,Goya,40.42690908695868,-3.670247833986222,Entire home/apt,64,30,1,2024-07-21,0.57,254,220,1,
615714676824992261,Room near the Airport - IFEMA,456611571,Hugo,Hortaleza,Pinar del Rey,40.47127151489258,-3.6357309818267822,Private room,40,1,283,2024-09-01,9.84,1,294,112,
646736285799640191,"Bonito piso ,",463655359,Gutierrez,Ciudad Lineal,Pueblo Nuevo,40.43383,-3.63814,Private room,40,2,27,2024-04-21,1.00,1,84,7,
1194156222224134010,"Habitación Privada en el cañaveral, Madrid",587690921,Carlos Julio,Vicálvaro,Casco Histórico de Vicálvaro,40.39676,-3.5577,Private room,35,1,0,,,1,176,0,
631036850293663213,Beautiful family 2 bedroom apartment,92836244,Paloma,Vicálvaro,Casco Histórico de Vicálvaro,40.39702,-3.60344,Entire home/apt,100,3,39,2024-07-01,1.52,1,41,19,
963093857668408612,Habitación Acogedora Vallecas,73963640,José Luis,Puente de Vallecas,San Diego,40.392540253472816,-3.664086985565838,Private room,50,2,58,2024-09-06,4.57,1,219,56,
1147645365882080068,Encantador: 2 dormitorios para 3,2906562,Jesús,Moratalaz,Fontarrón,40.4036052,-3.6487551,Private room,139,3,1,2024-06-10,0.32,3,89,1,
661226746193933501,🌟Buenísima habitacion cerca del metro Barajas,230253503,Nubia,Barajas,Timón,40.47186,-3.58727,Private room,35,2,0,,,6,365,0,
944889840109427049,Home Art Chamberí 2 habitaciones,494237478,Welcomer Group,Chamberí,Trafalgar,40.434,-3.70179,Entire home/apt,191,1,2,2024-02-11,0.18,40,124,2,
1228260776036859395,Heima Chic Retiro Park,23603298,Heima,Salamanca,Goya,40.42169252828686,-3.677909973755909,Entire home/apt,340,1,0,,,24,236,0,
675337485936812993,Precisoso apartamento en el centro de Madrid,18998422,Julio & Mirelis,Chamberí,Rios Rosas,40.4395281,-3.6975515,Entire home/apt,85,5,21,2024-07-21,0.89,1,288,13,
857896855823261115,Espectacular loft en Madrid Río,466380030,José Ignacio,Usera,Moscardó,40.39180869370044,-3.702138904018666,Entire home/apt,94,2,57,2024-09-08,3.29,2,331,41,
52715670,Precioso piso en edificio histórico en Las Letras,5521269,Igor,Centro,Cortes,40.41305,-3.69504,Entire home/apt,227,4,141,2024-09-05,4.30,3,55,60,
825958557055540306,Goya A W’ZINK,264103612,Zaz Apartamentos,Salamanca,Goya,40.42458629252099,-3.671385236084461,Entire home/apt,179,2,14,2024-08-31,0.74,10,162,5,
775465516814598365,Charming Hideaway in the Heart of Madrid,490371014,David,Centro,Cortes,40.41229484445751,-3.694921925677239,Entire home/apt,90,1,94,2024-07-29,4.62,1,69,54,
847081594340327851,BNBHolder Ponzano & Chamberi IV,430264712,Emilio,Chamberí,Trafalgar,40.43702075507215,-3.7021127029807004,Entire home/apt,143,1,49,2024-08-18,2.74,68,353,32,
1059970965734778088,Suite moderna cerca del Bernabéu - ImRoom 010,526728170,I'M Room Nuevos Ministerios,Tetuán,Cuatro Caminos,40.4475505,-3.6987219,Private room,107,1,8,2024-04-14,0.96,10,226,8,
927396126137964839,Portici - 2 bedrooms and terrace in Goya,346367515,Ukio,Salamanca,Recoletos,40.42592421432324,-3.680135456917797,Entire home/apt,173,31,0,,,314,253,0,
1039743610280527110,VR20Eb Estudio Alonso Cano WIFI,466052734,Estela,Chamberí,Almagro,40.436713206421864,-3.698671003533082,Entire home/apt,83,1,1,2024-07-24,0.60,58,251,1,
1240546991729399092,Precioso Ático  en Salamanca,650727703,Roxana,Salamanca,Goya,40.42641956357328,-3.6698523133838767,Entire home/apt,500,3,0,,,1,330,0,
1019372247776574942,Retiro - 2 bedrooms in Almagro,346367515,Ukio,Chamberí,Almagro,40.43036919348564,-3.6933541151531726,Entire home/apt,180,31,0,,,314,217,0,
633845859284454094,Best experience barrio de Las Letras,458610089,Laura,Centro,Cortes,40.41451,-3.69613,Entire home/apt,150,1,63,2024-08-24,2.28,2,126,31,VT REGISTRADA
37940179,Great Studio,291253690,Fran Y Marta Isabel,Centro,Embajadores,40.40935,-3.69625,Entire home/apt,167,1,103,2024-08-31,1.69,322,252,48,
847036136587052152,BNBHolder Ponzano & Chamberi I,430264712,Emilio,Chamberí,Trafalgar,40.43820281472943,-3.7022442844073598,Entire home/apt,159,1,43,2024-08-17,2.45,68,335,26,
